original_filename,new_filename,status
20260119_theloanplaybook_7597239683571141901_This ice bath is uncomfortable Debttoincome ratios dont.mp4,buyer-debt-to-income-ratio-myth.mp4,renamed
20260120_theloanplaybook_7597564801459555639_Mortgage 911 Someone just locked 9 to be safe while the.mp4,homeowner-locked-bad-rate-rescue.mp4,renamed
20260122_theloanplaybook_7598267421841050894_Most buyers think they need a huge down payment to buy .mp4,buyer-down-payment-myth.mp4,renamed
20260123_theloanplaybook_7598637050509692173_Rates move like a train  Lock too early  it can cost yo.mp4,buyer-when-to-lock-rate.mp4,renamed
20260126_theloanplaybook_7599761602820214046_Waiting to save more feels safe But rising prices and r.mp4,buyer-waiting-to-save-costs-more.mp4,renamed
20260127_theloanplaybook_7600217846274133278_Could I explain mortgages without sprinting across roof.mp4,brand-mortgage-explained-while-running.mp4,renamed
20260128_theloanplaybook_7600614145423052087_Buying a home can feel like this High elevation Narrow .mp4,buyer-home-buying-feels-overwhelming.mp4,renamed
20260130_theloanplaybook_7601316998370430222_A great mortgage doesnt happen by accident  Its about  .mp4,buyer-great-mortgage-preparation.mp4,renamed
20260202_theloanplaybook_7602465218291141943_Life has a way of lifting you into new chapters  When i.mp4,homeowner-family-stability-mortgage-plan.mp4,renamed
20260203_theloanplaybook_7602827843810118925_This is why you never shop for a home without a preappr.mp4,buyer-shop-with-preapproval.mp4,renamed
20260204_theloanplaybook_7603050858460515597_Jumbo loans  ultrawealthy only Different rules serious .mp4,buyer-jumbo-loan-myths.mp4,renamed
20260205_theloanplaybook_7603476262073437454_Hole 16 at the WM Phoenix Open Crowd screaming Beers fl.mp4,brand-wm-phoenix-open-mortgage-vibe.mp4,renamed
20260206_theloanplaybook_7603911779080621326_Move over Bad Bunny Theres a new unofficial halftime pe.mp4,brand-super-bowl-halftime-skit.mp4,renamed
20260209_theloanplaybook_7605054772315475213_GO SEAHAWKS   Super Bowl Champs That win didnt happen b.mp4,market-seahawks-mortgage-preparation.mp4,renamed
20260210_theloanplaybook_7605463235558493454_Everyones waiting for rates to drop Meanwhile theyre ge.mp4,buyer-waiting-for-rates-falling-behind.mp4,renamed
20260212_theloanplaybook_7606190500869197087_Doctors are told they need 20 down Not always true     .mp4,buyer-physician-loan-no-down-payment.mp4,renamed
20260214_theloanplaybook_7606931254272855327_Happy Valentines Day from Broadview Lending With love C.mp4,brand-valentines-day-mortgage-cupid.mp4,renamed
20260216_theloanplaybook_7607678572492344590_Yes Thats my client underneath me No Its not weird Its .mp4,brand-client-skit-not-weird.mp4,renamed
20260217_theloanplaybook_7608034594331397389_Its not about the rate its about the ROI  Everyone wait.mp4,homeowner-refinance-break-even-roi.mp4,renamed
20260218_theloanplaybook_7608394728236780814_I know what youre thinking Why is my mortgage guy in a .mp4,homeowner-mortgage-checkup-grooming.mp4,renamed
20260223_theloanplaybook_7610301710732397837_First off  HUGE congratulations to the US Mens Hockey T.mp4,brand-us-hockey-team-congrats.mp4,renamed
20260226_theloanplaybook_7611407107132263693_POV You froze yourself in 2022 waiting for rates to dro.mp4,buyer-frozen-waiting-rates-three-year-low.mp4,renamed
20260303_theloanplaybook_7613250089137540382_Introducing The Loan Playbook Real estate is one of the.mp4,brand-loan-playbook-intro.mp4,renamed
20260306_theloanplaybook_7614306358975843614_Out wine tasting with Bigfoot today  Turns out even he .mp4,brand-bigfoot-wine-tasting-skit.mp4,renamed
20260309_theloanplaybook_7615458881644367118_Oil prices impacting mortgage rates Market update incom.mp4,market-oil-prices-mortgage-rates.mp4,renamed
20260310_theloanplaybook_7615703067496926477_Cut years off your mortgage without refinancing  Make b.mp4,homeowner-pay-off-mortgage-faster.mp4,renamed
20260311_theloanplaybook_7616043267850915086_Renting vs owning One builds your landlords boat fund t.mp4,buyer-renting-vs-owning-equity.mp4,renamed
20260311_theloanplaybook_7616165570236435725_Scandal in the housing market A buyer made an offer  wi.mp4,buyer-preapproval-bridgerton-skit.mp4,renamed
20260312_theloanplaybook_7616567769567431950_Some buyers have been since forever Meanwhile the housi.mp4,buyer-waiting-too-long-meme.mp4,renamed
20260313_theloanplaybook_7616824563510398222_Buying a home You need to get preapproved FIRST Dont sk.mp4,buyer-preapproval-first-step.mp4,renamed
20260313_theloanplaybook_7616866054488345869_Mortgage rates got you feeling spooky Dont get scared t.mp4,buyer-rates-spooky-friday-13th.mp4,renamed
20260316_theloanplaybook_7618015693358877965_Buyers are confused about the spring market right now R.mp4,buyer-spring-market-real-talk.mp4,renamed
20260317_theloanplaybook_7618333582519471373_Mortgage made easy even when life gets wild Smooth sail.mp4,buyer-smooth-mortgage-process.mp4,renamed
20260323_theloanplaybook_7620653330934680845_Just like this goat  the market can hit hard sometimes .mp4,buyer-buydown-and-arm-options.mp4,renamed
20260324_theloanplaybook_7621034925046648077_Stop waiting for the perfect time to buy a house Its a .mp4,buyer-stop-waiting-for-perfect-market.mp4,renamed
20260401_theloanplaybook_7623944563442339086_When buying a house gets a little too neighborly The Lo.mp4,buyer-awkward-buying-delay-skit.mp4,renamed
20260402_theloanplaybook_7624187104322522381_Moving Worried about 2 payments or rushing to sell Ther.mp4,homeowner-buy-before-sell-program.mp4,renamed
20260403_theloanplaybook_7624604510190587149_Market lately At a certain pointyou just laugh  Also hy.mp4,market-laughing-hyena-meme.mp4,renamed
20260404_theloanplaybook_7624933578614328589_Ended up in the Wild West  Whole place turned into a sh.mp4,brand-wild-west-mortgage-skit.mp4,renamed
20260405_theloanplaybook_7625337659598097678_Dont wait or the market might hunt you down Yeah I mean.mp4,buyer-market-might-hunt-you-down.mp4,renamed
20260406_theloanplaybook_7625675477692239118_Me negotiating your mortgage like  But for real It shou.mp4,agent-negotiating-mortgage-skit.mp4,renamed
20260407_theloanplaybook_7626170615950626061_Everyones scared to buy but thats when buyers have the .mp4,buyer-power-seller-concessions-spring.mp4,renamed
20260408_theloanplaybook_7626502670731218190_Wine spill catastrophic  Mortgage under control  If you.mp4,brand-wine-spill-mortgage-control.mp4,renamed
20260421_theloanplaybook_7631390810033966350_Mortgages shouldnt be a paperwork nightmare Find the ri.mp4,buyer-easy-mortgage-no-paperwork.mp4,renamed
20260507_theloanplaybook_7637204481389726990_Struggling with monthly payments This free 10 temp buyd.mp4,agent-free-1-0-buydown-program.mp4,renamed
