filename,title,audience,topic,market,hook,cta,recommended_url,featured,status,notes
brand-super-bowl-halftime-skit.mp4,Super Bowl Halftime Skit,general,Super Bowl Halftime Skit,,Super Bowl Halftime Skit — short-form strategy clip from the content library.,Start strategy conversation,/,no,library,Brand/skit; lower immediate SEO priority
brand-us-hockey-team-congrats.mp4,Us Hockey Team Congrats,general,Us Hockey Team Congrats,,Us Hockey Team Congrats — short-form strategy clip from the content library.,Start strategy conversation,/,no,library,Brand/skit; lower immediate SEO priority
brand-valentines-day-mortgage-cupid.mp4,Valentines Day Mortgage Cupid,general,Valentines Day Mortgage Cupid,,Valentines Day Mortgage Cupid — short-form strategy clip from the content library.,Start strategy conversation,/,no,library,Brand/skit; lower immediate SEO priority
brand-wild-west-mortgage-skit.mp4,Wild West Mortgage Skit,general,Wild West Mortgage Skit,,Wild West Mortgage Skit — short-form strategy clip from the content library.,Start strategy conversation,/,no,library,Brand/skit; lower immediate SEO priority
brand-wine-spill-mortgage-control.mp4,Wine Spill Mortgage Control,general,Wine Spill Mortgage Control,,Wine Spill Mortgage Control — short-form strategy clip from the content library.,Start strategy conversation,/,no,library,Brand/skit; lower immediate SEO priority
brand-wm-phoenix-open-mortgage-vibe.mp4,Wm Phoenix Open Mortgage Vibe,general,Wm Phoenix Open Mortgage Vibe,Washington,Phoenix Open brand moment—Washington tie-in.,Local market context,/washington-mortgage,no,library,Brand/skit; lower immediate SEO priority
buyer-avoid-new-debt-before-closing.mp4,Avoid New Debt Before Closing,buyer,Avoid New Debt Before Closing,,New debt before closing can break the file.,Protect your approval,/learn/buyer-readiness,no,library,
buyer-awkward-buying-delay-skit.mp4,Awkward Buying Delay Skit,buyer,Awkward Buying Delay Skit,,Awkward Buying Delay Skit — short-form strategy clip from the content library.,Start strategy conversation,/buyers,no,library,
buyer-buydown-and-arm-options.mp4,Buydown and ARM options explained,buyer,Buydown And Arm Options,,Buydown and ARM options in plain language.,Explore buydown guide,/learn/2-1-buydowns,yes,library,
buyer-credit-score-game-plan.mp4,Credit Score Game Plan,buyer,Credit Score Game Plan,,Credit strategy beats perfect credit myths.,Build your game plan,/learn/buyer-readiness,no,library,
buyer-debt-to-income-ratio-myth.mp4,Debt To Income Ratio Myth,buyer,Debt To Income Ratio Myth,,DTI myths that slow buyers down.,Review readiness,/learn/buyer-readiness,no,library,
buyer-dont-panic-over-rate-number.mp4,Dont Panic Over Rate Number,buyer,Dont Panic Over Rate Number,,One number should not drive the whole decision.,Get context first,/learn/buyer-readiness,no,library,
buyer-down-payment-myth.mp4,The down payment myth,buyer,Down Payment Myth,,You may not need as much down as you think.,Start buyer strategy,/learn/buyer-readiness,yes,library,
buyer-easy-mortgage-no-paperwork.mp4,Easy Mortgage No Paperwork,buyer,Easy Mortgage No Paperwork,,Easy Mortgage No Paperwork — short-form strategy clip from the content library.,Start strategy conversation,/buyers,no,library,
buyer-frozen-waiting-rates-three-year-low.mp4,Frozen Waiting Rates Three Year Low,buyer,Frozen Waiting Rates Three Year Low,,Frozen by rate headlines at cycle lows.,Get a clear plan,/learn/buyer-readiness,no,library,
buyer-great-mortgage-preparation.mp4,Great mortgages are prepared,buyer,Great Mortgage Preparation,,Strong purchases start with preparation.,Start buyer strategy,/learn/buyer-readiness,yes,library,
buyer-home-buying-feels-overwhelming.mp4,Home Buying Feels Overwhelming,buyer,Home Buying Feels Overwhelming,,When the process feels overwhelming.,Buyer guidance hub,/buyers,no,library,
buyer-jumbo-loan-myths.mp4,Jumbo loan myths buyers believe,buyer,Jumbo Loan Myths,,Common jumbo myths before you tour.,Review jumbo strategy,/learn/jumbo-loans,yes,library,
buyer-market-might-hunt-you-down.mp4,Market Might Hunt You Down,buyer,Market Might Hunt You Down,,Market Might Hunt You Down — short-form strategy clip from the content library.,Start strategy conversation,/buyers,no,library,
buyer-marry-house-date-rate.mp4,Marry House Date Rate,buyer,Marry House Date Rate,,Marry House Date Rate — short-form strategy clip from the content library.,Start strategy conversation,/buyers,no,library,
buyer-outdated-home-buying-advice.mp4,Outdated Home Buying Advice,buyer,Outdated Home Buying Advice,,Outdated Home Buying Advice — short-form strategy clip from the content library.,Start strategy conversation,/buyers,no,library,
buyer-physician-loan-no-down-payment.mp4,Physician loans and down payment context,buyer,Physician Loan No Down Payment,,Physician loan down payment context.,Physician loan guide,/guides/physician-loans,yes,library,
buyer-power-seller-concessions-spring.mp4,Seller concessions in a spring market,buyer,Power Seller Concessions Spring,,Seller concessions in a spring market.,Read concessions guide,/learn/seller-concessions,yes,library,
buyer-preapproval-bridgerton-skit.mp4,Preapproval Bridgerton Skit,buyer,Preapproval Bridgerton Skit,,Preapproval Bridgerton Skit — short-form strategy clip from the content library.,Start strategy conversation,/buyers,no,library,
buyer-preapproval-first-step.mp4,Pre-approval is the first step,buyer,Preapproval First Step,,Pre-approval should come before the search.,Start buyer strategy,/learn/buyer-readiness,yes,library,
buyer-prequalified-vs-preapproved.mp4,Pre-qualified vs pre-approved,buyer,Prequalified Vs Preapproved,,Pre-qualified is not the same as pre-approved.,Get buyer-ready,/learn/buyer-readiness,yes,library,
buyer-rate-fear-bad-advice.mp4,Rate Fear Bad Advice,buyer,Rate Fear Bad Advice,,Rate fear and bad advice in the market.,Start with strategy,/learn/buyer-readiness,no,library,
buyer-rate-vs-payment-focus.mp4,Rates do not pay the bills—payments do,buyer,Rate Vs Payment Focus,,Payments matter more than the rate headline.,Clarify your number,/learn/buyer-readiness,yes,library,
buyer-rate-vs-price-strategy.mp4,Rate Vs Price Strategy,buyer,Rate Vs Price Strategy,,Rate vs price strategy for buyers.,Start buyer strategy,/learn/buyer-readiness,no,library,
buyer-rates-spooky-friday-13th.mp4,Rates Spooky Friday 13th,buyer,Rates Spooky Friday 13th,,Rates Spooky Friday 13th — short-form strategy clip from the content library.,Start strategy conversation,/buyers,no,library,
buyer-renting-vs-owning-equity.mp4,Renting Vs Owning Equity,buyer,Renting Vs Owning Equity,,Renting vs owning through an equity lens.,Explore buyer paths,/buyers,no,library,
buyer-shop-with-preapproval.mp4,Shop with pre-approval first,buyer,Shop With Preapproval,,Do not shop listings without pre-approval.,Start buyer strategy,/learn/buyer-readiness,yes,library,
buyer-smooth-mortgage-process.mp4,Smooth Mortgage Process,buyer,Smooth Mortgage Process,,Smooth Mortgage Process — short-form strategy clip from the content library.,Start strategy conversation,/buyers,no,library,
buyer-spring-market-real-talk.mp4,Spring Market Real Talk,buyer,Spring Market Real Talk,Washington,Spring market reality for buyers.,Washington buyer context,/washington-mortgage,no,library,
buyer-stop-waiting-for-perfect-market.mp4,Stop Waiting For Perfect Market,buyer,Stop Waiting For Perfect Market,,Waiting for the perfect market costs more.,Plan your move,/learn/buyer-readiness,no,library,
buyer-waiting-for-rates-falling-behind.mp4,Waiting For Rates Falling Behind,buyer,Waiting For Rates Falling Behind,,Waiting on rates can mean falling behind.,Talk through timing,/learn/buyer-readiness,no,library,
buyer-waiting-to-save-costs-more.mp4,Waiting To Save Costs More,buyer,Waiting To Save Costs More,,Saving longer can cost more than moving.,Review your timeline,/learn/buyer-readiness,no,library,
buyer-waiting-too-long-meme.mp4,Waiting Too Long Meme,buyer,Waiting Too Long Meme,,Waiting Too Long Meme — short-form strategy clip from the content library.,Start strategy conversation,/buyers,no,library,
buyer-when-to-lock-rate.mp4,When to lock your rate,buyer,When To Lock Rate,,When locking matters more than waiting.,Talk through timing,/learn/buyer-readiness,yes,library,
homeowner-12-month-mortgage-review.mp4,12-month mortgage review,homeowner,12 Month Mortgage Review,,Annual mortgage review for homeowners.,Homeowner strategy review,/learn/refinance-timing,yes,library,
homeowner-buy-before-sell-program.mp4,Buy before you sell program,homeowner,Buy Before Sell Program,,Buy before you sell sequencing.,Buy-before-sell guide,/guides/buy-before-sell,yes,library,
homeowner-family-stability-mortgage-plan.mp4,Family Stability Mortgage Plan,homeowner,Family Stability Mortgage Plan,,Family stability and mortgage planning.,Homeowner hub,/homeowners,no,library,
homeowner-locked-bad-rate-rescue.mp4,Locked Bad Rate Rescue,homeowner,Locked Bad Rate Rescue,,Locked at the wrong time—what next.,Review options,/learn/refinance-timing,no,library,
homeowner-mortgage-checkup-grooming.mp4,Mortgage Checkup Grooming,homeowner,Mortgage Checkup Grooming,,Mortgage checkup as a routine.,Explore equity options,/learn/heloc-strategy,no,library,
homeowner-pay-off-mortgage-faster.mp4,Pay Off Mortgage Faster,homeowner,Pay Off Mortgage Faster,,Payoff speed vs flexibility tradeoffs.,Homeowner guidance,/learn/refinance-timing,no,library,
homeowner-refinance-break-even-roi.mp4,Refinance break-even and ROI,homeowner,Refinance Break Even Roi,,Refinance break-even and ROI framing.,Review refinance timing,/learn/refinance-timing,yes,library,
homeowner-refinance-mortgage-chaos-day2.mp4,Refinance Mortgage Chaos Day2,homeowner,Refinance Mortgage Chaos Day2,,Refinance Mortgage Chaos Day2 — short-form strategy clip from the content library.,Start strategy conversation,/homeowners,no,library,
homeowner-refinance-opportunity-update.mp4,Refinance Opportunity Update,homeowner,Refinance Opportunity Update,,When refinance opportunity actually shows up.,Review timing,/learn/refinance-timing,yes,library,
market-fed-bond-buying-rates-explained.mp4,Fed Bond Buying Rates Explained,market,Fed Bond Buying Rates Explained,,Fed and bond buying—what moves rates.,Watch more context,/videos,no,library,
market-laughing-hyena-meme.mp4,Laughing Hyena Meme,market,Laughing Hyena Meme,,Laughing Hyena Meme — short-form strategy clip from the content library.,Start strategy conversation,/markets,no,library,
market-mortgage-chaos-countdown-day1.mp4,Mortgage Chaos Countdown Day1,market,Mortgage Chaos Countdown Day1,,Market chaos series opener.,Follow the series,/videos,no,library,
market-oil-prices-mortgage-rates.mp4,Oil Prices Mortgage Rates,market,Oil Prices Mortgage Rates,,Oil headlines and mortgage rate context.,Market commentary,/videos,no,library,
market-seahawks-mortgage-preparation.mp4,Seahawks season mortgage preparation,market,Seahawks Mortgage Preparation,Washington,Seattle sports season mortgage prep angle.,Washington strategy,/washington-mortgage,yes,library,
market-strategy-over-rate-noise.mp4,Strategy over rate noise,market,Strategy Over Rate Noise,,Strategy when rate noise gets loud.,Get market context,/learn/refinance-timing,yes,library,
